股票代號,股票名稱,ISIN Code,上市日,市場別,產業別,類型
1414,東和,TW0001414001,1976/02/02,上市,紡織纖維,股票
1416,廣豐,TW0001416006,1976/04/20,上市,其他業,股票
1417,嘉裕,TW0001417004,1976/12/28,上市,紡織纖維,股票
1418,東華,TW0001418002,1977/02/14,上市,紡織纖維,股票
1419,新紡,TW0001419000,1977/03/14,上市,紡織纖維,股票
1423,利華,TW0001423002,1979/04/02,上市,紡織纖維,股票
1432,大魯閣,TW0001432003,1982/07/26,上市,貿易百貨業,股票
1434,福懋,TW0001434009,1985/12/24,上市,紡織纖維,股票
1435,中福,TW0001435006,1987/12/28,上市,其他業,股票
1436,華友聯,TW0001436004,1988/04/11,上市,建材營造業,股票
1437,勤益控,TW0001437002,1988/11/10,上市,其他業,股票
1438,三地開發,TW0001438000,1988/12/15,上市,建材營造業,股票
1439,中和,TW0001439008,1989/05/22,上市,紡織纖維,股票
1440,南紡,TW0001440006,1989/10/03,上市,紡織纖維,股票
1441,大東,TW0001441004,1989/10/27,上市,紡織纖維,股票
1442,名軒,TW0001442002,1989/11/16,上市,建材營造業,股票
1443,立益,TW0001443000,1990/04/21,上市,紡織纖維,股票
1444,力麗,TW0001444008,1990/08/08,上市,紡織纖維,股票
1445,大宇,TW0001445005,1991/02/05,上市,紡織纖維,股票
1446,宏和,TW0001446003,1991/10/15,上市,紡織纖維,股票
1447,力鵬,TW0001447001,1992/01/28,上市,紡織纖維,股票
1449,佳和,TW0001449007,1992/03/12,上市,紡織纖維,股票
1451,年興,TW0001451003,1992/12/21,上市,紡織纖維,股票
1452,宏益,TW0001452001,1992/12/28,上市,紡織纖維,股票
1453,大將,TW0001453009,1993/04/19,上市,紡織纖維,股票
1454,台富,TW0001454007,1993/05/07,上市,紡織纖維,股票
1455,集盛,TW0001455004,1993/10/07,上市,紡織纖維,股票
1456,怡華,TW0001456002,1993/12/09,上市,紡織纖維,股票
1457,宜進,TW0001457000,1994/10/20,上市,紡織纖維,股票
1459,聯發,TW0001459006,1994/10/26,上市,紡織纖維,股票
1460,宏遠,TW0001460004,1995/04/28,上市,紡織纖維,股票
1463,強盛,TW0001463008,1996/12/05,上市,紡織纖維,股票
1464,得力,TW0001464006,1997/01/18,上市,紡織纖維,股票
1465,偉全,TW0001465003,1997/09/08,上市,紡織纖維,股票
1466,聚隆,TW0001466001,1998/04/04,上市,紡織纖維,股票
1467,南緯,TW0001467009,1998/12/21,上市,紡織纖維,股票
1468,昶和,TW0001468007,1999/01/21,上市,紡織纖維,股票
1470,大統新創,TW0001470003,1999/05/21,上市,紡織纖維,股票
1471,首利,TW0001471001,2000/03/06,上市,電子零組件業,股票
1472,三洋紡,TW0001472009,2000/09/11,上市,紡織纖維,股票
1473,台南,TW0001473007,2000/09/11,上市,紡織纖維,股票
1474,弘裕,TW0001474005,2000/10/31,上市,紡織纖維,股票
1475,業旺,TW0001475002,2000/10/27,上市,紡織纖維,股票
1476,儒鴻,TW0001476000,2001/04/18,上市,紡織纖維,股票
1477,聚陽,TW0001477008,2003/01/21,上市,紡織纖維,股票
1503,士電,TW0001503001,1969/12/15,上市,電機機械,股票
1504,東元,TW0001504009,1973/11/05,上市,電機機械,股票
1506,正道,TW0001506004,1980/08/11,上市,電機機械,股票
1507,永大,TW0001507002,1989/11/09,上市,電機機械,股票
1512,瑞利,TW0001512002,1994/01/28,上市,汽車工業,股票
1513,中興電,TW0001513000,1994/03/08,上市,電機機械,股票
1514,亞力,TW0001514008,1994/03/26,上市,電機機械,股票
1515,力山,TW0001515005,1995/02/04,上市,電機機械,股票
1516,川飛,TW0001516003,1995/04/01,上市,其他業,股票
1517,利奇,TW0001517001,1995/11/14,上市,電機機械,股票
1519,華城,TW0001519007,1997/04/16,上市,電機機械,股票
1521,大億,TW0001521003,1997/10/06,上市,汽車工業,股票
1522,堤維西,TW0001522001,1997/10/06,上市,汽車工業,股票
1524,耿鼎,TW0001524007,1998/10/30,上市,汽車工業,股票
1525,江申,TW0001525004,1999/05/15,上市,汽車工業,股票
1526,日馳,TW0001526002,2000/03/27,上市,電機機械,股票
1527,鑽全,TW0001527000,2000/06/21,上市,電機機械,股票
1528,恩德,TW0001528008,2000/09/11,上市,電機機械,股票
1529,樂士,TW0001529006,2000/09/11,上市,電機機械,股票
1530,亞崴,TW0001530004,2000/09/11,上市,電機機械,股票
1531,高林股,TW0001531002,2000/09/11,上市,電機機械,股票
1532,勤美,TW0001532000,2000/09/11,上市,電機機械,股票
1533,車王電,TW0001533008,2001/04/06,上市,汽車工業,股票
1535,中宇,TW0001535003,2001/09/17,上市,電機機械,股票
1536,和大,TW0001536001,2001/09/17,上市,汽車工業,股票
1537,廣隆,TW0001537009,2002/01/22,上市,電機機械,股票
1538,正峰,TW0001538007,2002/08/26,上市,電機機械,股票
1539,巨庭,TW0001539005,2002/10/29,上市,電機機械,股票
1540,喬福,TW0001540003,2002/08/26,上市,電機機械,股票
1541,錩泰,TW0001541001,2003/03/19,上市,電機機械,股票
1558,伸興,TW0001558005,2014/12/23,上市,電機機械,股票
1560,中砂,TW0001560001,2005/01/31,上市,電機機械,股票
1565,精華,TW0001565000,2004/03/30,上櫃,生技醫療業,股票
1568,倉佑,TW0001568004,2014/05/14,上市,汽車工業,股票
1569,濱川,TW0001569002,2005/07/29,上櫃,電腦及週邊設備業,股票
1570,力肯,TW0001570000,2005/06/30,上櫃,電機機械,股票
1580,新麥,TW0001580009,2007/12/10,上櫃,電機機械,股票
1582,信錦,TW0001582005,2009/12/17,上市,電子零組件業,股票
1583,程泰,TW0001583003,2008/01/24,上市,電機機械,股票
1584,精剛,TW0001584001,2007/11/28,上櫃,其他業,股票
1586,和勤,TW0001586006,2012/01/09,上櫃,電機機械,股票
1587,吉茂,TW0001587004,2018/04/16,上市,汽車工業,股票
1589,永冠-KY,KYG984291065,2012/04/27,上市,電機機械,股票
1590,亞德客-KY,KYG014081064,2010/12/13,上市,電機機械,股票
1591,駿吉-KY,KYG4782L1023,2012/03/23,上櫃,電機機械,股票
1592,英瑞-KY,KYG316231045,2014/10/16,上市,汽車工業,股票
1593,祺驊,TW0001593002,2012/06/13,上櫃,生技醫療業,股票
1595,川寶,TW0001595007,2011/10/04,上櫃,電子零組件業,股票
1597,直得,TW0001597003,2020/12/23,上市,電機機械,股票
1598,岱宇,TW0001598001,2016/09/20,上市,生技醫療業,股票
1599,宏佳騰,TW0001599009,2012/12/25,上櫃,電機機械,股票
1603,華電,TW0001603009,1968/06/03,上市,電器電纜,股票
1604,聲寶,TW0001604007,1970/12/14,上市,電器電纜,股票
1605,華新,TW0001605004,1972/11/03,上市,電器電纜,股票
1608,華榮,TW0001608008,1988/07/11,上市,電器電纜,股票
1609,大亞,TW0001609006,1988/12/12,上市,電器電纜,股票
1611,中電,TW0001611002,1990/01/16,上市,電器電纜,股票
1612,宏泰,TW0001612000,1993/05/08,上市,電器電纜,股票
1614,三洋電,TW0001614006,1997/09/18,上市,電器電纜,股票
1615,大山,TW0001615003,2000/03/30,上市,電器電纜,股票
1616,億泰,TW0001616001,2000/09/11,上市,電器電纜,股票
1617,榮星,TW0001617009,2000/09/11,上市,電器電纜,股票
1618,合機,TW0001618007,2000/09/11,上市,電器電纜,股票
1626,艾美特-KY,KYG0135T1076,2013/03/21,上市,電器電纜,股票
1701,中化,TW0001701001,1962/02/09,上市,生技醫療業,股票
1702,南僑,TW0001702009,1973/05/30,上市,食品工業,股票
1707,葡萄王,TW0001707008,1982/12/20,上市,生技醫療業,股票
1708,東鹼,TW0001708006,1986/06/16,上市,化學工業,股票
1709,和益,TW0001709004,1986/07/03,上市,化學工業,股票
1710,東聯,TW0001710002,1987/10/21,上市,化學工業,股票
1711,永光,TW0001711000,1988/12/27,上市,化學工業,股票
1712,興農,TW0001712008,1989/12/14,上市,化學工業,股票
1713,國化,TW0001713006,1990/01/31,上市,化學工業,股票
1714,和桐,TW0001714004,1991/08/30,上市,化學工業,股票
1717,長興,TW0001717007,1994/03/31,上市,化學工業,股票
1718,中纖,TW0001718005,1963/12/02,上市,化學工業,股票
1720,生達,TW0001720001,1995/12/12,上市,生技醫療業,股票
1721,三晃,TW0001721009,1996/05/16,上市,化學工業,股票
1722,台肥,TW0001722007,1998/03/24,上市,化學工業,股票
1723,中碳,TW0001723005,1998/11/27,上市,化學工業,股票
1724,台硝,TW0001724003,1995/03/30,上市,化學工業,股票
1725,元禎,TW0001725000,2000/09/11,上市,化學工業,股票
1726,永記,TW0001726008,2000/09/11,上市,化學工業,股票
1727,中華化,TW0001727006,2000/09/11,上市,化學工業,股票
1730,花仙子,TW0001730000,2001/09/17,上市,化學工業,股票
1731,美吾華,TW0001731008,2001/09/17,上市,生技醫療業,股票
1732,毛寶,TW0001732006,2001/09/17,上市,化學工業,股票
1733,五鼎,TW0001733004,2001/09/17,上市,生技醫療業,股票
1734,杏輝,TW0001734002,2002/08/26,上市,生技醫療業,股票
1735,日勝化,TW0001735009,2002/08/26,上市,化學工業,股票
1736,喬山,TW0001736007,2003/01/09,上市,生技醫療業,股票
1737,臺鹽,TW0001737005,2003/11/18,上市,食品工業,股票
1742,台蠟,TW0001742005,2004/05/14,上櫃,化學工業,股票
1752,南光,TW0001752004,2009/08/10,上櫃,生技醫療業,股票
1760,寶齡富錦,TW0001760007,2018/01/23,上市,生技醫療業,股票
1762,中化生,TW0001762003,2010/12/20,上市,生技醫療業,股票
1773,勝一,TW0001773000,2009/02/27,上市,化學工業,股票
1776,展宇,TW0001776003,2016/05/09,上市,化學工業,股票
1777,生泰,TW0001777001,2005/10/19,上櫃,生技醫療業,股票
1781,合世,TW0001781003,2004/12/24,上櫃,生技醫療業,股票
1783,和康生,TW0001783009,2013/12/20,上市,生技醫療業,股票
1784,訊聯,TW0001784007,2007/07/26,上櫃,生技醫療業,股票
1785,光洋科,TW0001785004,2005/01/31,上櫃,其他電子業,股票
1786,科妍,TW0001786002,2013/11/12,上市,生技醫療業,股票
1788,杏昌,TW0001788008,2009/07/20,上櫃,生技醫療業,股票
1789,神隆,TW0001789006,2011/09/29,上市,生技醫療業,股票
1795,美時,TW0001795003,2019/12/16,上市,生技醫療業,股票
1796,金穎生技,TW0001796001,2018/01/22,上櫃,食品工業,股票
1799,易威,TW0001799005,2008/11/10,上櫃,生技醫療業,股票
1802,台玻,TW0001802007,1973/07/20,上市,玻璃陶瓷,股票
1805,寶徠,TW0001805000,1989/10/20,上市,建材營造業,股票
1806,冠軍,TW0001806008,1992/09/29,上市,玻璃陶瓷,股票
1808,潤隆,TW0001808004,1994/10/26,上市,建材營造業,股票
1809,中釉,TW0001809002,1996/04/30,上市,玻璃陶瓷,股票
1810,和成,TW0001810000,1991/10/14,上市,玻璃陶瓷,股票
1813,寶利徠,TW0001813004,2009/08/04,上櫃,生技醫療業,股票
1815,富喬,TW0001815009,2006/01/23,上櫃,電子零組件業,股票
1817,凱撒衛,TW0001817005,2013/10/24,上市,玻璃陶瓷,股票
1903,士紙,TW0001903003,1963/12/09,上市,造紙工業,股票
1904,正隆,TW0001904001,1971/09/10,上市,造紙工業,股票
1905,華紙,TW0001905008,1975/02/07,上市,造紙工業,股票
1906,寶隆,TW0001906006,1976/04/26,上市,造紙工業,股票
1907,永豐餘,TW0001907004,1977/02/22,上市,造紙工業,股票
1909,榮成,TW0001909000,1985/11/19,上市,造紙工業,股票
2002,中鋼,TW0002002003,1974/12/26,上市,鋼鐵工業,股票
2002A,中鋼特,TW0002002A04,1974/12/26,上市,鋼鐵工業,特別股
2006,東和鋼鐵,TW0002006004,1988/07/13,上市,鋼鐵工業,股票
2007,燁興,TW0002007002,1988/10/04,上市,鋼鐵工業,股票
2008,高興昌,TW0002008000,1988/12/28,上市,鋼鐵工業,股票
2009,第一銅,TW0002009008,1989/10/20,上市,鋼鐵工業,股票
2010,春源,TW0002010006,1989/12/22,上市,鋼鐵工業,股票
2012,春雨,TW0002012002,1991/10/17,上市,鋼鐵工業,股票
2013,中鋼構,TW0002013000,1992/01/21,上市,鋼鐵工業,股票
2014,中鴻,TW0002014008,1992/02/20,上市,鋼鐵工業,股票
2015,豐興,TW0002015005,1992/05/25,上市,鋼鐵工業,股票
2017,官田鋼,TW0002017001,1992/11/02,上市,鋼鐵工業,股票
2020,美亞,TW0002020005,1993/04/27,上市,鋼鐵工業,股票
2022,聚亨,TW0002022001,1995/03/27,上市,鋼鐵工業,股票
2023,燁輝,TW0002023009,1995/07/28,上市,鋼鐵工業,股票
2024,志聯,TW0002024007,1995/12/30,上市,鋼鐵工業,股票
2025,千興,TW0002025004,1996/02/08,上市,鋼鐵工業,股票
2027,大成鋼,TW0002027000,1996/10/24,上市,鋼鐵工業,股票
2028,威致,TW0002028008,1996/12/13,上市,鋼鐵工業,股票
2029,盛餘,TW0002029006,1997/01/11,上市,鋼鐵工業,股票
2030,彰源,TW0002030004,1998/12/24,上市,鋼鐵工業,股票
2031,新光鋼,TW0002031002,2000/09/11,上市,鋼鐵工業,股票
2032,新鋼,TW0002032000,2000/09/11,上市,鋼鐵工業,股票
2033,佳大,TW0002033008,2000/09/11,上市,鋼鐵工業,股票
2034,允強,TW0002034006,2001/09/17,上市,鋼鐵工業,股票
2035,唐榮,TW0002035003,2006/07/07,上櫃,鋼鐵工業,股票
2038,海光,TW0002038007,2008/12/30,上市,鋼鐵工業,股票
2049,上銀,TW0002049004,2009/06/26,上市,電機機械,股票
2059,川湖,TW0002059003,2008/06/25,上市,電子零組件業,股票
2061,風青,TW0002061009,2010/12/09,上櫃,電器電纜,股票
2062,橋椿,TW0002062007,2007/11/16,上市,其他業,股票
2063,世鎧,TW0002063005,2010/09/07,上櫃,鋼鐵工業,股票
2064,晉椿,TW0002064003,2014/12/26,上櫃,鋼鐵工業,股票
2065,世豐,TW0002065000,2017/04/21,上櫃,鋼鐵工業,股票
2066,世德,TW0002066008,2013/09/24,上櫃,電機機械,股票
2067,嘉鋼,TW0002067006,2014/05/26,上櫃,電機機械,股票
2069,運錩,TW0002069002,2016/03/22,上市,鋼鐵工業,股票
2070,精湛,TW0002070000,2018/12/17,上櫃,電機機械,股票
2101,南港,TW0002101003,1963/11/01,上市,橡膠工業,股票
2102,泰豐,TW0002102001,1979/07/16,上市,橡膠工業,股票
2103,台橡,TW0002103009,1982/09/25,上市,橡膠工業,股票
2104,國際中橡,TW0002104007,1986/07/15,上市,橡膠工業,股票
2105,正新,TW0002105004,1987/12/07,上市,橡膠工業,股票
2106,建大,TW0002106002,1990/12/20,上市,橡膠工業,股票
2107,厚生,TW0002107000,1992/03/03,上市,橡膠工業,股票
2108,南帝,TW0002108008,1992/10/27,上市,橡膠工業,股票
2109,華豐,TW0002109006,2000/05/08,上市,橡膠工業,股票
2114,鑫永銓,TW0002114006,2010/12/29,上市,橡膠工業,股票
2115,六暉-KY,KYG5700L1086,2013/12/25,上市,汽車工業,股票
2201,裕隆,TW0002201001,1976/07/08,上市,汽車工業,股票
2204,中華,TW0002204005,1991/03/12,上市,汽車工業,股票
2206,三陽工業,TW0002206000,1996/07/29,上市,汽車工業,股票
2207,和泰車,TW0002207008,1997/02/25,上市,汽車工業,股票
2208,台船,TW0002208006,2008/12/22,上市,航運業,股票
2211,長榮鋼,TW0002211000,2021/04/12,上市,鋼鐵工業,股票
2221,大甲,TW0002221009,2007/08/01,上櫃,其他業,股票
2227,裕日車,TW0002227006,2004/12/21,上市,汽車工業,股票
2228,劍麟,TW0002228004,2013/11/25,上市,汽車工業,股票
2230,泰茂,TW0002230000,2013/04/18,上櫃,電機機械,股票
2231,為升,TW0002231008,2010/11/19,上市,汽車工業,股票
2233,宇隆,TW0002233004,2019/09/17,上市,汽車工業,股票
2235,謚源,TW0002235009,2014/12/15,上櫃,電機機械,股票
2236,百達-KY,KYG693691092,2015/06/03,上市,汽車工業,股票
2239,英利-KY,KYG1991F1081,2016/01/27,上市,汽車工業,股票
2241,艾姆勒,TW0002241007,2020/08/26,上市,電機機械,股票
2243,宏旭-KY,KYG460651014,2017/09/27,上市,汽車工業,股票
2247,汎德永業,TW0002247004,2020/10/12,上市,汽車工業,股票
2301,光寶科,TW0002301009,1995/11/17,上市,電腦及週邊設備業,股票
2302,麗正,TW0002302007,1985/01/15,上市,半導體業,股票
2303,聯電,TW0002303005,1985/07/16,上市,半導體業,股票
2305,全友,TW0002305000,1988/10/21,上市,電腦及週邊設備業,股票
2308,台達電,TW0002308004,1988/12/19,上市,電子零組件業,股票
2312,金寶,TW0002312006,1989/11/07,上市,其他電子業,股票
2313,華通,TW0002313004,1990/07/24,上市,電子零組件業,股票
2314,台揚,TW0002314002,1990/08/08,上市,通信網路業,股票
2316,楠梓電,TW0002316007,1991/02/05,上市,電子零組件業,股票
2317,鴻海,TW0002317005,1991/06/18,上市,其他電子業,股票
2321,東訊,TW0002321007,1991/11/08,上市,通信網路業,股票
2323,中環,TW0002323003,1992/02/17,上市,光電業,股票
2324,仁寶,TW0002324001,1992/02/18,上市,電腦及週邊設備業,股票
2327,國巨,TW0002327004,1993/10/22,上市,電子零組件業,股票
2328,廣宇,TW0002328002,1993/11/09,上市,電子零組件業,股票
2329,華泰,TW0002329000,1994/04/20,上市,半導體業,股票
2330,台積電,TW0002330008,1994/09/05,上市,半導體業,股票
2331,精英,TW0002331006,1994/09/21,上市,電腦及週邊設備業,股票
2332,友訊,TW0002332004,1994/10/17,上市,通信網路業,股票
2337,旺宏,TW0002337003,1995/03/15,上市,半導體業,股票
2338,光罩,TW0002338001,1995/04/17,上市,半導體業,股票
2340,光磊,TW0002340007,1995/05/02,上市,光電業,股票
2342,茂矽,TW0002342003,1995/09/19,上市,半導體業,股票
2344,華邦電,TW0002344009,1995/10/18,上市,半導體業,股票
2345,智邦,TW0002345006,1995/11/15,上市,通信網路業,股票
2347,聯強,TW0002347002,1995/12/13,上市,電子通路業,股票
2348,海悅,TW0002348000,1996/01/05,上市,其他業,股票
2349,錸德,TW0002349008,1996/04/23,上市,光電業,股票
2351,順德,TW0002351004,1996/04/25,上市,半導體業,股票
2352,佳世達,TW0002352002,1996/07/22,上市,電腦及週邊設備業,股票
2353,宏碁,TW0002353000,1996/09/18,上市,電腦及週邊設備業,股票
2354,鴻準,TW0002354008,1996/10/08,上市,其他電子業,股票
2355,敬鵬,TW0002355005,1996/10/14,上市,電子零組件業,股票
2356,英業達,TW0002356003,1996/11/13,上市,電腦及週邊設備業,股票
2357,華碩,TW0002357001,1996/11/14,上市,電腦及週邊設備業,股票
2358,廷鑫,TW0002358009,1996/12/18,上市,其他業,股票
2359,所羅門,TW0002359007,1996/12/19,上市,其他電子業,股票
2360,致茂,TW0002360005,1996/12/21,上市,其他電子業,股票
2362,藍天,TW0002362001,1997/04/02,上市,電腦及週邊設備業,股票
2363,矽統,TW0002363009,1997/08/01,上市,半導體業,股票
2364,倫飛,TW0002364007,1997/08/11,上市,電腦及週邊設備業,股票
2365,昆盈,TW0002365004,1997/11/03,上市,電腦及週邊設備業,股票
2367,燿華,TW0002367000,1997/12/13,上市,電子零組件業,股票
2368,金像電,TW0002368008,1998/03/09,上市,電子零組件業,股票
2369,菱生,TW0002369006,1998/04/10,上市,半導體業,股票
2371,大同,TW0002371002,1962/02/09,上市,電機機械,股票
2373,震旦行,TW0002373008,1991/08/01,上市,其他電子業,股票
2374,佳能,TW0002374006,1995/01/16,上市,光電業,股票
2375,凱美,TW0002375003,1998/08/29,上市,電子零組件業,股票
2376,技嘉,TW0002376001,1998/09/24,上市,電腦及週邊設備業,股票
2377,微星,TW0002377009,1998/10/31,上市,電腦及週邊設備業,股票
2379,瑞昱,TW0002379005,1998/10/26,上市,半導體業,股票
2380,虹光,TW0002380003,1998/12/03,上市,電腦及週邊設備業,股票
2382,廣達,TW0002382009,1999/01/08,上市,電腦及週邊設備業,股票
2383,台光電,TW0002383007,1998/11/27,上市,電子零組件業,股票
2385,群光,TW0002385002,1999/01/05,上市,電子零組件業,股票
2387,精元,TW0002387008,1999/01/25,上市,電腦及週邊設備業,股票
2388,威盛,TW0002388006,1999/03/05,上市,半導體業,股票
2390,云辰,TW0002390002,1999/06/15,上市,其他電子業,股票
2392,正崴,TW0002392008,1999/09/20,上市,電子零組件業,股票
2393,億光,TW0002393006,1999/11/04,上市,光電業,股票
2395,研華,TW0002395001,1999/12/13,上市,電腦及週邊設備業,股票
2397,友通,TW0002397007,2000/01/15,上市,電腦及週邊設備業,股票
2399,映泰,TW0002399003,1999/12/16,上市,電腦及週邊設備業,股票
2401,凌陽,TW0002401007,2000/01/27,上市,半導體業,股票
2402,毅嘉,TW0002402005,2000/01/14,上市,電子零組件業,股票
2404,漢唐,TW0002404001,2000/03/14,上市,其他電子業,股票
2405,浩鑫,TW0002405008,2000/03/17,上市,電腦及週邊設備業,股票
2406,國碩,TW0002406006,2000/04/29,上市,光電業,股票
2408,南亞科,TW0002408002,2000/08/17,上市,半導體業,股票
2409,友達,TW0002409000,2000/09/08,上市,光電業,股票
2412,中華電,TW0002412004,2000/10/27,上市,通信網路業,股票
2413,環科,TW0002413002,2000/09/11,上市,電子零組件業,股票
2414,精技,TW0002414000,2000/09/11,上市,電子通路業,股票
2415,錩新,TW0002415007,2000/09/11,上市,電子零組件業,股票
2417,圓剛,TW0002417003,2000/09/11,上市,電腦及週邊設備業,股票
2419,仲琦,TW0002419009,2000/09/11,上市,通信網路業,股票
2420,新巨,TW0002420007,2000/09/11,上市,電子零組件業,股票
2421,建準,TW0002421005,2000/09/11,上市,電子零組件業,股票
2423,固緯,TW0002423001,2000/09/11,上市,其他電子業,股票
2424,隴華,TW0002424009,2000/09/11,上市,電腦及週邊設備業,股票
2425,承啟,TW0002425006,2000/09/11,上市,電腦及週邊設備業,股票
2426,鼎元,TW0002426004,2000/09/11,上市,光電業,股票
2427,三商電,TW0002427002,2000/09/11,上市,資訊服務業,股票
2428,興勤,TW0002428000,2000/09/11,上市,電子零組件業,股票
2429,銘旺科,TW0002429008,2000/09/11,上市,電子零組件業,股票
2430,燦坤,TW0002430006,2000/09/11,上市,電子通路業,股票
2431,聯昌,TW0002431004,2000/09/11,上市,電子零組件業,股票
2433,互盛電,TW0002433000,2000/09/11,上市,其他電子業,股票
2434,統懋,TW0002434008,2000/09/11,上市,半導體業,股票
2436,偉詮電,TW0002436003,2000/09/11,上市,半導體業,股票
2438,翔耀,TW0002438009,2000/09/11,上市,光電業,股票
2439,美律,TW0002439007,2000/09/11,上市,通信網路業,股票
2440,太空梭,TW0002440005,2000/11/10,上市,電子零組件業,股票
2441,超豐,TW0002441003,2000/10/26,上市,半導體業,股票
2442,新美齊,TW0002442001,2000/11/22,上市,電腦及週邊設備業,股票
2443,億麗,TW0002443009,2001/01/03,上市,其他業,股票
2444,兆勁,TW0002444007,2000/12/08,上市,通信網路業,股票
2449,京元電子,TW0002449006,2001/05/09,上市,半導體業,股票
2450,神腦,TW0002450004,2001/05/24,上市,通信網路業,股票
2451,創見,TW0002451002,2001/05/03,上市,半導體業,股票
2453,凌群,TW0002453008,2001/05/22,上市,資訊服務業,股票
2454,聯發科,TW0002454006,2001/07/23,上市,半導體業,股票
2455,全新,TW0002455003,2002/01/24,上市,通信網路業,股票
2456,奇力新,TW0002456001,2001/09/26,上市,電子零組件業,股票
2457,飛宏,TW0002457009,2001/09/17,上市,電子零組件業,股票
2458,義隆,TW0002458007,2001/09/17,上市,半導體業,股票
2459,敦吉,TW0002459005,2001/09/17,上市,電子通路業,股票
2460,建通,TW0002460003,2001/09/17,上市,電子零組件業,股票
